frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.60, 1.69, 0.00, 1.68, 0.00, 0.00, 0.00, 1.41, 0.00, 0.00, 0.69, 1.17, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.100, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.49, 1.57, 0.00, 1.54, 0.00, 0.01, 0.00, 0.92, 0.00, 0.00, 1.04, 1.34, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.200, 0.98, 1, 0.01, 0.00, 0.00, 0.00, 0.39, 1.46, 0.00, 1.42, 0.00, 0.14, 0.00, 0.47, 0.00, 0.00, 1.24, 1.43, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.300, 0.98, 1, 0.06, 0.00, 0.05, 0.00, 0.33, 1.40, 0.00, 1.37, 0.00, 0.30, 0.00, 0.14, 0.00, 0.00, 1.39, 1.28, 0.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.400, 0.98, 1, 0.12, 0.00, 0.10, 0.00, 0.26, 1.41, 0.00, 1.54, 0.00, 0.43, 0.00, 0.06, 0.00, 0.00, 1.49, 1.22, 0.07, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.500, 0.98, 1, 0.21, 0.00, 0.15, 0.00, 0.24, 1.56, 0.00, 1.68, 0.00, 0.59, 0.00, 0.04, 0.00, 0.00, 1.56, 1.08, 0.11, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.600, 0.98, 1, 0.23, 0.00, 0.12, 0.00, 0.22, 1.67, 0.00, 1.69, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 1.59, 1.09, 0.11, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.700, 0.98, 1, 0.21, 0.00, 0.12, 0.00, 0.21, 1.61, 0.00, 1.61, 0.00, 0.61, 0.00, 0.00, 0.00, 0.00, 1.69, 1.05, 0.08, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.800, 0.98, 1, 0.11, 0.00, 0.11, 0.00, 0.24, 1.57, 0.06, 1.54, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 1.77, 1.07, 0.04, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.900, 0.98, 1, 0.04, 0.00, 0.17, 0.00, 0.19, 1.59, 0.09, 1.46, 0.00, 0.58, 0.00, 0.00, 0.00, 0.00, 1.89, 1.13, 0.12, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
