frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 0.56, 0.00, 0.27, 0.19, 0.00, 0.34, 0.37, 0.00, 0.02, 0.11, 0.00, 0.00, 1.24, 0.81, 0.60, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 0.00, 0.00, 0.94, 0.00, 0.42, 0.47, 0.00, 0.66, 0.41, 0.00, 0.32, 0.04, 0.00, 0.00, 1.08, 0.72, 0.65, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
3, 0, 0.067, 0.98, 1, 0.00, 0.00, 1.18, 0.00, 0.51, 0.61, 0.00, 0.85, 0.44, 0.00, 0.48, 0.01, 0.00, 0.00, 0.99, 0.66, 0.71, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.00, 0.00, 1.25, 0.00, 0.51, 0.58, 0.00, 0.85, 0.44, 0.00, 0.50, 0.02, 0.01, 0.00, 1.05, 0.67, 0.77, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 0.00, 0.00, 1.22, 0.00, 0.49, 0.35, 0.00, 0.81, 0.44, 0.00, 0.44, 0.02, 0.13, 0.00, 0.96, 0.44, 0.92, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 0.00, 0.00, 1.14, 0.00, 0.45, 0.15, 0.00, 0.77, 0.44, 0.00, 0.37, 0.01, 0.23, 0.00, 0.89, 0.22, 1.05, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
7, 0, 0.200, 0.98, 1, 0.00, 0.00, 1.09, 0.00, 0.41, 0.00, 0.00, 0.78, 0.46, 0.00, 0.26, 0.00, 0.35, 0.00, 0.76, 0.00, 1.13, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
8, 0, 0.234, 0.93, 1, 0.00, 0.00, 1.11, 0.00, 0.39, 0.00, 0.00, 0.81, 0.44, 0.00, 0.20, 0.00, 0.35, 0.00, 0.75, 0.00, 1.10, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
9, 0, 0.267, 0.93, 1, 0.00, 0.00, 1.11, 0.00, 0.40, 0.00, 0.00, 0.84, 0.44, 0.00, 0.16, 0.00, 0.38, 0.00, 0.73, 0.00, 1.06, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
10, 0, 0.300, 0.93, 1, 0.00, 0.00, 1.12, 0.00, 0.43, 0.00, 0.00, 0.82, 0.49, 0.00, 0.15, 0.00, 0.35, 0.00, 0.66, 0.00, 1.08, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
11, 0, 0.334, 0.93, 1, 0.00, 0.00, 1.18, 0.00, 0.45, 0.00, 0.00, 0.81, 0.55, 0.00, 0.15, 0.00, 0.35, 0.00, 0.58, 0.00, 1.10, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
12, 0, 0.367, 0.93, 1, 0.00, 0.00, 1.25, 0.00, 0.46, 0.00, 0.00, 0.81, 0.60, 0.00, 0.14, 0.00, 0.33, 0.00, 0.51, 0.00, 1.11, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
13, 0, 0.400, 0.93, 1, 0.00, 0.00, 1.25, 0.00, 0.45, 0.00, 0.00, 0.83, 0.60, 0.00, 0.15, 0.00, 0.33, 0.00, 0.50, 0.00, 1.10, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
14, 0, 0.434, 0.93, 1, 0.00, 0.00, 1.22, 0.00, 0.45, 0.00, 0.00, 0.84, 0.60, 0.00, 0.14, 0.00, 0.33, 0.00, 0.51, 0.00, 1.09, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
